,titles,ratings,reviews,dates,replies,reply_dates
34,Commande non reçue non remboursée,1,"Je n'ai pas reçu  ma commande.parapharmacie 
Apres deux mois de reclammation aucun remboursement aucun geste commercial
Amabilité  et excuses auraient été  le minimum souhaité pour rester cliente
J'ai trouvé  des produits équivalents moins cher ailleurs et des sites soucieux de la satisfaction clients",2023-01-17T10:34:42.000Z,,
35,Je ne trouve toujours pas de moutarde…,1,"Je ne trouve toujours pas de moutarde digne de se nom, je me suis faite avoir en achetant soit disant de la moutarde ""traditionnelle "" malheureusement celle-ci ne ressemble en rien à de la moutarde, en lisant l'étiquette sur l'emballage,  en petit il est écrit fabriquée en République Tchèque. C'est une blague ? Non plutôt une escroquerie !",2023-01-13T16:26:00.000Z,,
36,Remboursement impossible ....,1,"Commande refusée le 12/12 ordinateur HP, débité mais le colis qui devait être retourné par le magasin de Dammarie les Lys a disparu, je n'ai jamais touché au colis et aucune nouvelle impossible d'avoir une réponse fiable on enquête, rappelez mardi, rappelez vendredi etc ... le remboursement sera effectué lorsqu'on retrouvera le colis ... alors que je n'ai jamais eu le colis en mains une catastrophe !!!",2023-01-10T16:31:38.000Z,,
37,Bonsoir Leclerc lillenium rayon animaux…,1,Bonsoir Leclerc lillenium rayon animaux toujours des panneaux pour dire que tel ou est pas disponible rayons presque vide ça fait des mois que ça dure même dans une épicerie on pourrait avoir + de choix  je vous conseil pas les boîtes de chats eco même les chats errants ils en veulent pas  fromage le camembert eco est jamais en rayon celui qui bosse dans ce rayon il les mets au frais chez lui,2023-01-09T21:41:03.000Z,,
38,Non satisfaction,2,"Les caissières discutent entre elles de leur supérieur et de leur planning un samedi après midi je trouve cela limite 
Le devant des caisses vides ou plein de bazar ce n'est pas une bonne image",2023-01-28T16:55:58.000Z,,
39,Mais que fait-il là ?,1,"Mais que fait-il là ?
CENTRE LECLERC ST-PIERRE LES ELBEUF
le 22 février 2023 - 11H00 - rayon Charcuterie.
Un ""vendeur"" homme - la quarantaine - m'interpelle comme client "" C'est pourquoi ?""
Je lui indique vouloir acheter du boudin noir aux pommes (c'est très bon et on est en Normandie)
Je lui indique avec ma main lequel je souhaite.
Il me dit - sans se déplacer : dites moi lequel et pour combien de personnes ?
Je lui demande de venir voir - il y a au moins 2 m à faire.
Il me répond : ""je vous ai demandé lequel et pour combien de personnes "" toujours sans de déplacer.
Je lui demande de venir voir , toujours pour lui indiquer lequel et quelle quantité.
Il refuse de se déplacer ! ET OUI ! ça existe !
en me répondant qu'il se déplace après réponses à ses questions ! Je crois rêver !
Il a une attitude hautaine devant ses collègues qui le regardent, comme s'ils leur disait ""vous avez vu comment on met au pas les clients"" 
Je l'interpelle tout haut, devant tous les clients présents qui s'arrêtent pour écouter.
""Donc vous ne vous déplacer pas pour servir ?""
Devant mon attitude, il s'en va se cacher plus loin derrière le rayon.
MAIS QUE FAIT-IL A CETTE PLACE CE MONSIEUR ?
Les vacances obligent des remplacements de vendeurs, ce qui reste compréhensible.
MAIS MONSIEUR LE DIRECTEUR, CHOISISSEZ DES PROFILS COMPATIBLES AVEC LA VENTE !
Déjà ce rayon souffre habituellement, mais aujourd'hui IL TOUCHE LE FOND !
Client habituel, je vais dorénavant éviter ce périmètre.",2023-02-22T17:44:24.000Z,,
40,Remboursement très en retard et incomplet,1,"En juillet, je passe un commande sur le site E.Leclerc. Le montant de la commande est encaissé mais la commande est annulée par le site, juste après. J'ai dû demander plusieurs fois le remboursement qui n'est arrivé qu'en ... octobre. Leclerc me doit toujours la majoration due dans le cas d'un retard de remboursement. Consulter à ce sujet l'article 241-4 du Code de la consommation (majoration de 10 % si le remboursement intervient au plus tard quatorze jours au-delà de ce terme, de 20 % jusqu'à trente jours et de 50 % ultérieurement).",2023-01-10T16:07:25.000Z,,
41,Inadmissible,1,Commander téléviseur e leclerc reçu en livraison à leclerc massy pour cadeau à l ouverture le 12 décembre 2022 l écran etait cassé et le sce client leclerc ne rembourse pas donc acheter chez nous et si casser rien n est rembourser c'est inadmissible.leclerc est une entreprise pauvre ils ont besoin d arnaquer les gens pour renflouer les caisses,2022-12-31T23:34:47.000Z,,
42,Achat en ligne le 3/12/2022 pour un…,1,"Achat en ligne le 3/12/2022 pour un jouet lego, sur le site web, il faut vraiment être motivé car le site est completement buggué. 
Je ne reçois aucune alerte de disponibilité au point retrait (ni dans les spams, ni ailleurs)... Par contre le 12/12 je reçois un mail indiquant que le colis repart à l'envoyeur car non retiré depuis 7 jours. 
Depuis cette date tous mes efforts pour obtenir le colis sont restés vains : aucune réponse du SAV, plus rien. 
J'ai par contre bien été débité et j'ignore si je serai remboursé un jour. 
Experience catastrophique.",2023-01-07T10:57:33.000Z,,
43,Pour faire bon poids chez Leclerc,1,"Ce jeudi 29 décembre, j'ai acheté un magret de canard de la marque Volandrie de chez Leclerc (Varennes-Vauzelle). Quelle déception lors de la sortie du magret de son emballage de constater qu'il y avait des morceaux de peu décharnés histoire sans doute de faire bon poids. Le problème c'est que la peau en excédent ne se mange pas. Bref c'est de l'arnaque ! Mais de plus en plus de volailler se livre à ce genre d'escroquerie alimentaire !",2022-12-29T13:14:41.000Z,,
